City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Abasha,GE,42.2096,42.2211,53.82,66,5,10.38,clear sky
Tiksi,RU,71.6872,128.8694,7.63,90,26,6.55,scattered clouds
Hermanus,ZA,-34.4187,19.2345,55.8,85,5,12.19,clear sky
Vaini,TO,-21.2,-175.2,84.36,79,75,5.75,broken clouds
Provideniya,RU,64.3833,-173.3,32.59,96,100,12.01,light snow
Yellowknife,CA,62.456,-114.3525,10.92,52,75,6.91,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,75.38,92,71,4.99,broken clouds
Krasnogorsk,RU,55.8225,37.3181,33.96,64,0,15.66,clear sky
Mandera,KE,3.9366,41.867,81.25,68,73,10.65,broken clouds
New Norfolk,AU,-42.7826,147.0587,78.89,37,100,3.0,overcast clouds
Hilo,US,19.7297,-155.09,72.28,92,100,5.75,moderate rain
Butaritari,KI,3.0707,172.7902,82.06,76,44,12.12,scattered clouds
Castro,BR,-24.7911,-50.0119,49.14,99,1,5.06,clear sky
Kamenka,RU,51.3223,42.7678,50.47,73,100,12.68,overcast clouds
Taltal,CL,-25.4,-70.4833,61.11,77,0,3.13,clear sky
Birjand,IR,32.8663,59.2211,63.07,45,40,4.61,dust
Gorontalo,ID,0.5412,123.0595,76.35,92,89,4.85,overcast clouds
Yumen,CN,40.2833,97.2,51.89,19,0,4.72,clear sky
Te Anau,NZ,-45.4167,167.7167,56.84,53,85,0.27,overcast clouds
Yangi Marg`ilon,UZ,40.4272,71.7189,66.92,34,90,4.61,overcast clouds
Mataura,NZ,-46.1927,168.8643,53.47,46,99,3.49,overcast clouds
Rikitea,PF,-23.1203,-134.9692,78.73,67,25,13.51,scattered clouds
Tuktoyaktuk,CA,69.4541,-133.0374,3.2,66,40,6.91,scattered clouds
São Félix do Xingu,BR,-6.6447,-51.995,71.51,99,92,0.87,overcast clouds
Bluff,NZ,-46.6,168.3333,53.8,58,86,7.96,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,73.35,78,0,4.61,clear sky
Dikson,RU,73.5069,80.5464,8.13,90,100,15.1,light snow
Atuona,PF,-9.8,-139.0333,78.8,80,69,16.17,light rain
Port Alfred,ZA,-33.5906,26.891,58.17,94,92,10.38,overcast clouds
San Jose,US,37.3394,-121.895,55.99,69,20,12.66,few clouds
Mwinilunga,ZM,-11.7358,24.4293,62.44,98,100,3.62,overcast clouds
San Fernando,PH,15.0286,120.6898,87.53,48,68,8.52,broken clouds
Cabot,US,34.9745,-92.0165,61.86,64,100,17.27,overcast clouds
Khatanga,RU,71.9667,102.5,24.26,93,93,10.0,overcast clouds
Bethel,US,41.3712,-73.414,44.02,90,100,5.75,light rain
Lavrentiya,RU,65.5833,-171.0,31.48,93,100,9.8,overcast clouds
Ribeira Grande,PT,38.5167,-28.7,59.07,77,4,19.1,clear sky
Lat Yao,TH,15.751,99.7893,97.36,37,29,7.05,scattered clouds
Bredasdorp,ZA,-34.5322,20.0403,55.78,85,1,7.29,clear sky
Lagoa,PT,39.05,-27.9833,58.12,74,0,14.79,clear sky
Sharan,RU,54.8167,54.0,36.63,73,99,9.69,overcast clouds
Ponta do Sol,PT,32.6667,-17.1,68.63,44,100,8.9,overcast clouds
Caravelas,BR,-17.7125,-39.2481,77.0,73,100,10.4,overcast clouds
Laguna,US,38.421,-121.4238,60.78,64,0,10.36,clear sky
Tura,IN,25.5198,90.2201,79.99,71,5,7.81,clear sky
Tabuk,PH,17.4189,121.4443,85.12,61,58,6.49,broken clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,81,0,2.3,clear sky
Longyearbyen,SJ,78.2186,15.6401,21.04,68,75,8.05,broken clouds
Kapaa,US,22.0752,-159.319,76.98,95,100,27.63,heavy intensity rain
Avarua,CK,-21.2078,-159.775,82.45,74,53,10.36,broken clouds
Christchurch,NZ,-43.5333,172.6333,58.91,75,100,13.8,overcast clouds
Qaanaaq,GL,77.484,-69.3632,-21.1,73,5,7.96,clear sky
Luanda,AO,-8.8368,13.2343,77.0,88,75,5.75,broken clouds
Yarensk,RU,62.1675,49.0916,29.57,76,17,3.89,few clouds
Talnakh,RU,69.4865,88.3972,14.61,93,98,16.64,overcast clouds
Barrow,US,71.2906,-156.7887,8.62,72,0,19.57,clear sky
Padang,ID,-0.9492,100.3543,87.85,64,26,5.95,scattered clouds
Iqaluit,CA,63.7506,-68.5145,4.69,77,100,15.99,light snow
Cherskiy,RU,68.75,161.3,22.39,86,100,13.13,overcast clouds
Albany,US,42.6001,-73.9662,38.23,93,80,3.29,broken clouds
Skibbereen,IE,51.55,-9.2667,52.11,99,100,7.67,moderate rain
Mahébourg,MU,-20.4081,57.7,78.26,88,75,13.8,broken clouds
Sanming,CN,26.2486,117.6186,60.71,80,100,1.86,overcast clouds
Airai,TL,-8.9266,125.4092,72.61,70,50,1.12,scattered clouds
Lüderitz,NA,-26.6481,15.1594,61.95,60,0,9.98,clear sky
Sakakah,SA,29.9697,40.2064,62.17,20,0,7.49,clear sky
Tulun,RU,54.5611,100.5792,59.05,40,90,6.8,overcast clouds
Tomatlán,MX,19.9333,-105.25,71.44,56,100,1.34,overcast clouds
Clyde River,CA,70.4692,-68.5914,-9.17,84,100,10.36,light snow
Esim,GH,4.8699,-2.2405,75.11,87,100,2.93,light rain
Sisa,PE,-6.6167,-76.6915,74.17,91,98,2.71,overcast clouds
Bull Savanna,JM,17.8868,-77.5902,73.08,83,5,6.69,clear sky
Nikolskoye,RU,59.7035,30.7861,31.8,82,50,2.75,scattered clouds
Hithadhoo,MV,-0.6,73.0833,83.62,62,95,6.15,overcast clouds
Abu Dhabi,AE,24.4667,54.3667,82.51,70,0,4.61,clear sky
Cockburn Town,TC,21.4612,-71.1419,77.47,83,100,22.21,overcast clouds
Adet,ET,11.2644,37.4888,59.97,81,100,2.66,moderate rain
Geraldton,AU,-28.7667,114.6,70.21,60,71,16.11,light rain
Jamestown,US,42.097,-79.2353,36.99,70,100,9.22,mist
Mahinog,PH,9.1578,124.7875,83.14,73,83,6.42,broken clouds
Atlantic City,US,39.3643,-74.4229,51.04,87,63,12.84,broken clouds
Kangaatsiaq,GL,68.3065,-53.4641,-5.84,97,20,7.72,few clouds
Pevek,RU,69.7008,170.3133,7.09,89,100,6.04,overcast clouds
Arraial do Cabo,BR,-22.9661,-42.0278,72.01,72,3,15.9,clear sky
Aklavik,CA,68.2191,-135.0107,8.91,87,22,12.39,few clouds
Ibrā’,OM,22.6906,58.5334,90.72,16,59,3.31,broken clouds
Key Largo,US,25.0865,-80.4473,77.99,83,0,13.0,clear sky
Paramirim,BR,-13.4425,-42.2389,69.1,96,94,7.0,overcast clouds
Nanortalik,GL,60.1432,-45.2371,28.9,84,94,8.63,overcast clouds
Maragogi,BR,-9.0122,-35.2225,77.59,89,91,5.64,overcast clouds
Dunedin,NZ,-45.8742,170.5036,54.81,71,98,15.01,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,46.51,81,40,12.66,light intensity shower rain
San Patricio,US,28.017,-97.5169,75.83,89,90,8.86,overcast clouds
Amapá,BR,1.0,-52.0,71.01,99,75,1.68,broken clouds
Saldanha,ZA,-33.0117,17.9442,57.25,71,0,9.78,clear sky
Nuuk,GL,64.1835,-51.7216,25.41,68,20,8.05,few clouds
Ayaviri,PE,-14.8864,-70.5889,38.01,29,14,3.09,few clouds
Busselton,AU,-33.65,115.3333,66.16,44,36,10.67,scattered clouds
Chokurdakh,RU,70.6333,147.9167,8.2,86,25,2.95,scattered clouds
Ushuaia,AR,-54.8,-68.3,38.86,81,0,3.44,clear sky
Marystown,CA,47.1666,-55.1483,43.32,64,97,17.78,overcast clouds
Taman',RU,45.2117,36.7161,48.7,76,100,4.61,overcast clouds
Pavlodar,KZ,52.3,76.95,66.0,34,40,11.18,scattered clouds
Ugoofaaru,MV,5.6667,73.0,84.58,72,81,7.0,broken clouds
Stanley,FK,-51.7,-57.85,34.09,71,60,13.31,broken clouds
Bandarbeyla,SO,9.4942,50.8122,82.4,73,30,9.57,scattered clouds
Narsaq,GL,60.9167,-46.05,30.42,84,8,2.21,clear sky
Mitzic,GA,0.7821,11.549,69.37,98,86,2.28,overcast clouds
Upernavik,GL,72.7868,-56.1549,-18.89,100,60,7.81,broken clouds
Nemuro,JP,43.3236,145.575,41.79,73,6,16.33,clear sky
Medicine Hat,CA,50.0501,-110.6683,34.23,55,100,11.5,overcast clouds
Alvarães,BR,-3.2208,-64.8042,73.58,97,100,1.28,overcast clouds
Poronaysk,RU,49.2167,143.1167,31.48,97,100,14.41,snow
Honningsvåg,NO,70.9821,25.9704,38.95,87,100,25.32,light intensity drizzle
Ahipara,NZ,-35.1667,173.1667,61.23,85,100,15.26,overcast clouds
Mezen',RU,65.8522,44.24,33.51,88,100,9.55,overcast clouds
Hong Kong,HK,22.2855,114.1577,74.97,69,99,11.01,overcast clouds
Spirit River,CA,55.7833,-118.8361,29.37,70,100,4.41,overcast clouds
Esperance,AU,-33.8667,121.9,62.44,64,97,14.09,overcast clouds
Camocim,BR,-2.9022,-40.8411,75.85,92,98,4.97,overcast clouds
Tahe,CN,52.3333,124.7333,39.58,39,16,8.77,few clouds
Bom Jesus,BR,-9.0744,-44.3586,71.29,96,44,1.3,scattered clouds
Port Elizabeth,ZA,-33.918,25.5701,62.1,91,40,9.22,scattered clouds
Baykit,RU,61.67,96.37,42.76,96,100,6.51,light rain
Beloha,MG,-25.1667,45.05,72.73,91,66,7.43,broken clouds
Lompoc,US,34.6391,-120.4579,56.57,87,40,14.0,mist
Aljezur,PT,37.3191,-8.8033,60.28,66,82,7.94,broken clouds
Coquimbo,CL,-29.9533,-71.3436,56.93,88,40,4.61,scattered clouds
Cidreira,BR,-30.1811,-50.2056,65.93,72,79,6.42,broken clouds
Amarante do Maranhão,BR,-5.5667,-46.7422,71.11,97,51,1.61,broken clouds
São Bernardo,BR,-3.3614,-42.4178,73.38,97,99,2.13,overcast clouds
Xianshuigu,CN,38.985,117.3828,64.4,34,0,6.71,clear sky
Iralaya,HN,15.0,-83.2333,79.18,69,47,10.31,scattered clouds
Guerrero Negro,MX,27.9769,-114.0611,59.95,84,73,17.83,broken clouds
Tazovsky,RU,67.4667,78.7,12.52,91,100,18.5,overcast clouds
Saint Paul Harbor,US,57.79,-152.4072,38.71,81,100,11.5,overcast clouds
Klaksvík,FO,62.2266,-6.589,47.32,98,100,19.75,light rain
Ulverstone,AU,-41.15,146.1667,67.53,68,97,9.22,overcast clouds
Puerto Carreño,CO,6.189,-67.4859,78.06,82,100,6.55,moderate rain
Nichinan,JP,31.6,131.3667,64.08,48,3,4.72,clear sky
Thompson,CA,55.7435,-97.8558,21.36,53,100,4.61,overcast clouds
Rawson,AR,-43.3002,-65.1023,53.6,72,0,9.4,clear sky
Mokshan,RU,53.4365,44.6132,52.2,91,100,7.78,overcast clouds
Murgab,TM,37.4966,61.9714,68.45,43,89,9.78,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,35.91,98,100,20.78,overcast clouds
Avon Park,US,27.5959,-81.5062,74.01,90,40,6.15,scattered clouds
Caculé,BR,-14.5033,-42.2222,69.85,84,100,6.42,overcast clouds
Laas,IT,46.6166,10.7002,41.88,59,10,6.11,clear sky
Lebu,CL,-37.6167,-73.65,52.65,92,50,9.19,scattered clouds
Souillac,MU,-20.5167,57.5167,77.38,88,75,13.8,broken clouds
Hofn,IS,64.2539,-15.2082,46.04,95,99,7.54,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,26.4,90,8,5.19,clear sky
Nouadhibou,MR,20.931,-17.0347,62.58,94,75,11.5,broken clouds
Mitsamiouli,KM,-11.3847,43.2844,79.09,83,20,6.91,light rain
Tupik,RU,54.4253,119.9327,35.58,30,46,4.12,scattered clouds
Aykhal,RU,66.0,111.5,31.8,97,100,16.28,snow
Sitka,US,57.0531,-135.33,46.29,49,0,0.0,clear sky
Santa Rosa,PH,14.3122,121.1114,86.11,59,31,11.61,scattered clouds
Half Moon Bay,US,37.4636,-122.4286,54.28,76,0,16.11,clear sky
Gibraltar,GI,36.1447,-5.3526,58.95,77,0,6.91,clear sky
Broome,US,42.2506,-75.833,39.61,74,75,10.36,broken clouds
Kununurra,AU,-15.7667,128.7333,93.18,52,96,3.44,overcast clouds
Talen,IN,23.5667,76.7167,93.52,20,0,14.18,clear sky
Turbat,PK,26.0023,63.044,88.59,38,43,4.47,scattered clouds
Santiago del Estero,AR,-27.7951,-64.2615,60.39,59,5,5.14,clear sky
Poconé,BR,-16.2567,-56.6228,77.47,66,90,3.18,overcast clouds
Samarai,PG,-10.6167,150.6667,84.07,71,98,8.77,overcast clouds
Santa Vitória do Palmar,BR,-33.5189,-53.3681,59.83,86,13,3.15,few clouds
Ţahţā,EG,26.7693,31.5021,79.59,15,0,8.25,clear sky
Mana,GF,5.6592,-53.7767,77.14,89,98,9.73,overcast clouds
Los Llanos de Aridane,ES,28.6585,-17.9182,60.55,82,0,10.36,clear sky
Oistins,BB,13.0667,-59.5333,78.89,78,40,20.71,scattered clouds
Caucel,MX,21.0167,-89.7167,82.47,70,0,14.0,clear sky
Ningxiang,CN,37.34,111.2052,52.14,34,100,9.89,moderate rain
Cape Town,ZA,-33.9258,18.4232,59.11,77,0,8.05,clear sky
Shingū,JP,33.7333,135.9833,62.96,72,61,10.78,broken clouds
Huangmei,CN,30.1924,116.025,64.69,48,90,5.28,overcast clouds
Lumeje,AO,-11.55,20.7833,62.62,98,96,4.07,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,78.1,56,100,10.83,overcast clouds
Cinco Esquinas,CR,10.1037,-84.1678,65.17,54,0,8.05,clear sky
Kruisfontein,ZA,-34.0033,24.7314,59.88,92,0,3.0,clear sky
Tasiilaq,GL,65.6145,-37.6368,33.96,98,100,5.57,light snow
Koltubanovskiy,RU,52.9407,52.0269,44.46,68,100,8.55,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,55.78,64,90,10.47,overcast clouds
Mar del Plata,AR,-38.0023,-57.5575,59.88,87,72,5.99,fog
Kita,ML,13.0349,-9.4895,81.23,51,82,6.17,broken clouds
Batagay,RU,67.6333,134.6333,21.83,75,100,3.6,overcast clouds
Reguengos de Monsaraz,PT,38.4253,-7.5349,53.98,59,22,3.56,few clouds
Pucallpa,PE,-8.3791,-74.5539,75.24,100,20,2.3,few clouds
Mayo,US,38.8876,-76.5119,59.49,75,75,12.66,light rain
Goderich,CA,43.7501,-81.7165,32.92,80,100,16.11,overcast clouds
